Label,Type,Tags,Description,URL,Image,Metric,Measure,Source
Accessibility of on-call,team measure,On-call|MSDA,"How accessible is on-call? Specifically, what proportion of your team members are actually on-call regularly?",,,%,Higher is better,Source: Multi-team Software Delivery Assessment from Confux http://softwaredeliveryassessment.com/ 
Team API,team measure,Team API|Team Topologies,How up-to-date is your Team API details? How many weeks since the last update? ,,,Weeks,Lower is better,Source: Team Topologies - https://teamtopologies.com/
Blocking dependencies,team measure,Team Autonomy|Team Topologies,How many blocking dependencies do you suffer in a typical week/period? ,,,Integer,Lower is better,Source: Team Topologies - https://teamtopologies.com/
Team-sized services,team measure,Team Cognitive Load|Team Topologies,What % of the services/apps your team works on do you understand? ,,,%,Higher is better,Source: Team Topologies - https://teamtopologies.com/
Canary,team measure,Deployment technique,How many services (%) have a blue-green or phased roll-out capability? ,,,%,Higher is better,"Source: Continuous Delivery, 2010"
Blue-Green or phased,team measure,Deployment technique,How many services (%) have a canary capability? ,,,%,Higher is better,"Source: Continuous Delivery, 2010"
Impact Isolation,team measure,Runtime technique,"When an external service fails, how often does your service fail (% of cases)? ",,,%,Lower is better,Source: TELUS
Circuit Breaker,team measure,Runtime technique,What % of your services use circuit-breaker when connecting to other systems? ,https://microservices.io/patterns/reliability/circuit-breaker.html,,%,Higher is better,
Exponential Back-off,team measure,Runtime technique,What % of your services use exponential back-off when connecting to other systems? ,https://cloud.google.com/iot/docs/how-tos/exponential-backoff,,%,Higher is better,
Chaos Engineering,team measure,Runtime technique,What % of your services are resilient to  random single-node failures? ,,,%,Higher is better,
Distributed Tracing,team measure,Runtime technique,What % of calls have full end-to-end traces? ,,,%,Higher is better,
Blameless Postmortem,team measure,Human technique,In what % of incidents is a single root cause sought? ,https://codeascraft.com/2016/11/17/debriefing-facilitation-guide/,,%,Lower is better,
Perception of reliability,team measure,Human technique,How many (%) of your user journeys explicitly manage the perception of performance or reliability? ,,,%,Higher is better,
Playbooks,team measure,Human technique,How often (%) do your Playbooks help with human-directed triage and remeditation? ,,,%,Higher is better,Source: TELUS
UX under error conditions,team measure,UX|RTCE,How many (%) of your user journeys have a defined UX under error conditions? How many (%) of your user journeys have a workaround under error conditions? Take the average of these two measures. ,,,%,Higher is better,Source: TELUS/Conflux
Code-level hygiene,context,,The quality of the code and practices around code and version control,,,,Higher is better,Source: TELUS/Conflux
Observability,context,,The ability to observe the state and behavior of the system.,,,,Higher is better,Source: TELUS/Conflux
Decoupling and Isolation,context,,The degree to which different parts of the system are decoupled and isolated.,,,,Higher is better,Source: TELUS/Conflux
Speed of remediation,context,,How quickly problems in the live systems can be addressed.,,,,Higher is better,Source: TELUS/Conflux
Understanding of system behaviour,context,,The overall understanding and awareness of the software systems.,,,,Higher is better,Source: TELUS/Conflux
Decision-making context,context,,The quality of the context in teams and individuals for making decisions about the software systems.,,,,Higher is better,Source: TELUS/Conflux
Incentives for reliability,context,,The social drivers for improving reliability.,,,,Higher is better,Source: TELUS/Conflux
Reliability Through Customer Eyes,context,RTCE,The reliability of the systems as seen through the eyes of the customers of the systems.,http://rtce.net/,,,Higher is better,Source: TELUS/Conflux
Technical foundations,genre,,Largely technical or technology-derived measures,,,,Higher is better,Source: TELUS/Conflux
Socio-technical constraints,genre,,Largely socio-technical derived measures,https://github.com/matthewskelton/sociotechnical-architecture,,,Higher is better,Source: TELUS/Conflux
Human factors,genre,,Largely human-derived measures,,,,Higher is better,Source: TELUS/Conflux
RELIABILITY,reliability,,,,,,Higher is better,
